,,,,,,,NOSC-L,,,,,,,TCN-L,,,,,,,TRT,,,,,,,TRT (Lot 7),,,,,,,RHN,,,,,,,SNE-NG,,,,,,,POP-NG,,,,,,,Maintenance Laptop Kit,,,,,,,STT Laptop Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor,Product,Version,Category,Part Number,,,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_RemoteServiceProvider,2.5.22.02.01,D,2846830,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_Troubleshooting,2.5.21.01.00,D,2842347,,,,,,,,,,4,,,3,,,1,1,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,WINT_WAN_Planning,2.5.21.02.02,D,2817052,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDC4S,UPS Configuration Tool,5.1,D,2841159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDSATCOM ,M20 Gen III SOTM Gui ,4.1.5 ,V,2828916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDSATCOM ,M20 Gen IV SOTM Gui (app.jar),8.0.8,V,US00202397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub,Posh-SSH,2.0.2,F,2846905,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub,Posh-SSH,3.0.0,F,2846905,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google,GSON,2.3.1,F,2849878,,,5,,2,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,CHIMERA,1.0.2,G,2902401,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,MS SQL Server Standard  (64 Bit),2012 SP4,G,2846286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,MS SQL Server Standard  (64 Bit),2016 SP2-CU16,G,2846286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,Tier 3 Download Utility,1.1,G,2825958,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS  (AGM),DoD InstallRoot PKE,5.5,G,2846287,,,20,,4,13,,3,,7,,,3,,3,1,1,,1,,,,,1,,1,,,,,,,,,,,,3,,,,,2,1,3,,,,,2,1,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS  (AGM),MS Office 2016 AGM,2.0.4,G,US00202398,,,17,,4,13,,,,4,,,3,,,1,1,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (DISA),DoD PKE CRLAutoCache (NIPR/SIPR),4.2,G,2846906,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (DISA),Microsoft NetBanner,2.1.161,G,2847104,,,23,,4,13,,6,,10,,,3,,6,1,1,,1,,,,,1,,1,,,,,9,,,,,9,,4,,,,,3,1,4,,,,,3,1,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (DISA/Tenable),Nessus ,10.2.0,G,2840061,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (DISA/Tenable),SecurityCenter,5.19 (Patch SC-202206.1-5.x),G,2840060,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
