Vendor,ProductName(TotalCI/NodeQuantity),Version,Function,IntendedUse,Product Category,LCCE UniqueID,PLM/PDM Root,PLM/PDM Part Number,"Mitigated Version #
(25 char limit exceeded)",Virtual Endpoint Client S/NVEC1,Virtual Endpoint Client (not Vec1) VECx,Satelite Tranmission Terminal Laptop,Engineering Node Management System,Active Directory Services,Perf EnhancingProxy,Network Timing Protocol,Network Recovery & Monitoring,ColorlessNode Manager,SIPR Node Manager,NIPR Node Manager,Network Operations LAN Manager,Network Operations WAN Manager,SIPR Multi-Domain Appliance,,,"Provisioning Maintenance
Laptop (B300)","Maintenance
Laptop (GD8000)",PDSS RELEASE DRIVE,Call Manager,Security Information Manager  ,Security Information Manager (2) ,"Elastic 
Syslog & Filebeat","Elastic
Logstash & Kibana",VMWare ESXi Server ,Nessus Scan Tool,LAN Tier 2 Router (Cisco vRouter) Lite/TRT,LAN Tier 2 Router (Cisco vRouter)             NGEN,Firewall Host (Palo Alto vFw),"Firewall Host (vFW)
(Colorless/
SIPR PoP/SNE)",Firewall Manager (Palo Alto Panorama),RVPS Application Server                    (SIPR),RVPS Application Server          (N/X),ACAS Security Center,,,,,,,,,,,,,
,,,,,"D=Developed
F=Free/Share
G=GFE/GFS
S=Subcontractor
V=VendorCOTS
LSVD",,,,,S/NVEC1,VECx,"STT
Laptop",ENG,DSC,PEP,"NTP
(CentOS)",NRM  (CentOS)  ,XNDM,SNDM,NNDM,NOM,NOW,SMDA  (NG SNE),SMDA (NG POP),SMDA (TCN L),MNT (B300),MNT (GD8000),PDSS RELEASE DRIVE,"CMX
(RedCom)",SIM1,SIM2,SYA,SYI,ESX,NST,T2R (Lite/TRT),T2R (NGEN),FWH,"X/SFWH
(PoP/SNE)",FWM,SRVP,N/XRVP,ASC,,,,,,,,,,,,,
GD,ESXiUSBKEY,2.5.23.1.00,Utility,ESXi Server Operating System Installer.,D,3795,2849620,07-2849620-D2.5.23.1.00L,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,iPXEUSBKEY,2.5.23.1.00,Utility,Tool used to create iPXE boot drive to allow systems to PXE boot,D,3847,2902034,07-2902034-D2.5.23.1.00L,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,NCW Gold Configs ,10.5.4,,NCW gold configs for terminal configurations that include the MPM-1000 and MPM-2000 modems,D,3892,2902406,07-2902406-D10.5.4L,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,NetStatusClient,,Utility,Access the netstatus service running on the NRM.,D,3787,2848763,07-2848763-DL,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,OCSP Responder,2.5.18.3.3,,Consumes CRLs and acts as the source of certificate revocation status.,D,3804,2849876,07-2849876-D2.5.18.3.3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
GD,PHSS Package,Apr2019,,Used for training,D,1989,2817056,07-2817056-DApr2019L,,1,1,,1,,,,,1,1,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,Provisioning Configuration Tool,2.5.22.3.0,Utility,Enabls rion Provisioning Nodeonfig files for use wi RDT,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
GD,PTMT,2.5.22.1.00,Utility,Password Template Management Tool (PTMT) used to populate the Password Template and create the Passwords.txt file,D,3893,2902407,07-2902407-D2.5.22.1.00L,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,Riverbed Finalization,2.5.22.4.01,,Script to apply the configuration and license to a PEP,D,3781,2848251,07-2848251-D2.5.22.4.01L,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,SAASMCfg,2.0.2,Utility,Selective Availability/Anti-Spoof Module (GPS Configuration Utility),D,1986,2825942,07-2825942-D2.0.2L,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,Taclane Configuration Tool,1.4.15,,TCT used for automated configuration of KG-175D via console using XML based configuration files,G,3805,2849877,07-2849877-G1.4.15C,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
